Search_Keyword_for_Job,URL,Position,Company,job_loc,salary_range,job_type,job_desc,DATE,DEG,DOMAIN,EMAIL,EXP,HARD SKILLS,LOC,ORG,PER,PHONE,PROJECT,ROLE,SOFT SKILLS,UNI
Machine Learning Engineer,https://indeed.com/viewjob?jk=01a38c71268ade7c,"AIML - Senior Software Engineer, Foundation Models, On-Device Machine Learning",Apple,,,Full-time,                ,,,,,,,,,,,,,,
Machine Learning Engineer,https://indeed.com/viewjob?jk=1d6dd689401dd97a,Machine Learning,Hash Technologies,,,Full-time,"As an ML Cloud Infrastructure Technical Lead you will provide technical leadership for a growing team of cloud and machine learning engineers. The team is tasked with leading development of our data architecture, model training, deployment, and evaluation infrastructure. You will also take a leading role in development of model training services that provide optimized models and can be run by non-data scientists for use by both external and internal customers. You’ll build, maintain and improve data processing pipelines that process billions of data points and petabytes of data.   Additionally and specifically, guide the team in providing infrastructure services, starting with computational services: generate class predictions and embeddings by applying models to run IDs, morphometrics by applying morphometric models to run IDs, projections like UMAP, tSNE, PCA from embeddings, and extract clusters. Also help supply data services: cell data and metadata, obtain metadata about runs and datasets, model service, save and retrieve models and model metadata, image service to retrieve images from run IDs, label service to save and retrieve cell attributes (labels) by cell ID.   You’ll work with multiple interdisciplinary teams composed of data scientists, bioinformaticians, biologists and software engineers to help solve hard problems which improve biological research and, ultimately, health outcomes, across all of biology.  Minimum Qualifications · Preferred Qualifications · ",,,"ML, data scientists",,,"UMAP, tSNE, PCA",,,,,,"Technical Lead, cloud and, machine learning engineers",,
Machine Learning Engineer,https://indeed.com/viewjob?jk=5938bdbd40e80aa8,Sr. Staff Software and Machine learning Engineer – Hardware,Asquare,,Estimated $157K - $199K a year,Contract,"Exciting Long Term Contract Job Opportunity with a Fortune 500 Telecommunication Company!!  We are currently looking for contractors with solid Computer Engineering, Computer Science and ML backgrounds who would be interested in researching the applications of ML, statistical learning and optimization methodologies in the automated design exploration of modern hardware.  Responsibilities  Work with the machine learning branch of our CPU design team.  Apply machine learning, deep learning, reinforcement learning to the automated design exploration in HW/CPU design process.  Help explore, develop, implement, optimize and evaluate system of machine learning and statistical learning in automated design exploration in HW/CPU design process.  Publish research results in top conferences.  Qualifications  Knowledge of deep reinforcement learning, optimization and search techniques.  Knowledge of machine learning, statistical learning—e.g., deep neural networks, graph neural networks and sequence processing.  Knowledge of CPU architecture and computer organization is a plus.  Publication in relevant areas is a plus.  Familiarity with ML implementation environments and platforms such as PyTorch and/or Tensorflow.  Agility in learning and working with multiple tools, including research and commercial tools.  Experience in developing software in Linux/Unix environments.  Well organized, detail-oriented team player.  Good verbal and written communication skills.  Ph.D or M.S. in Computer Engineering, Computer Science, Electrical Engineering or closely related majors.",,"Ph.D or M.S. in Computer Engineering, Computer Science, Electrical Engineering","Computer Engineering, Computer Science, ML, ML, machine learning, machine learning, deep learning, machine learning, deep reinforcement learning, machine learning, deep neural networks, ML",,,"CPU, reinforcement learning, HW, CPU, HW, CPU, statistical learning, graph neural networks, sequence processing, PyTorch, Tensorflow",,,,,,,"Well organized, detail-oriented team player, Good verbal and written communication skills",
Machine Learning Engineer,https://indeed.com/viewjob?jk=f56d65449a7c7cab,"Machine Learning Tech Lead, Content Understanding",Snapchat,,"$225,000 - $327,000 a year",Full-time,"   is a camera company. We believe that reinventing the camera represents our greatest opportunity to improve the way people live and communicate. Our products empower people to express themselves, live in the moment, learn about the world, and have fun together.    teams build fun and technically sophisticated products that reach hundreds of millions of Snapchatters around the world, every day. We’re deeply committed to the well-being of everyone in our global community, which is why   are at the root of everything we do. We move fast, with precision, and always execute with privacy at the forefront.    Some core features we build and maintain include Snapchat’s Camera, Creative Tools, Maps, Chat, Memories, Stories, Discover, Games, and Minis. Our Infrastructure teams deliver an innovative and cost-efficient platform that ensures Snapchat is the fastest way to communicate with your friends, no matter where you are in the world. We have one of the fastest growing digital ad platforms, and our Monetization teams drive measurable returns for advertisers through novel ad formats like Augmented Reality. As a Snap Engineering team member, you’ll help us build the future of communication.    We're looking for a Machine Learning Tech Lead, Content Understanding to join Snap!    What you’ll do:    Knowledge, Skills & Abilities:    Minimum Qualifications:    Preferred Qualifications:    Compensation    In the United States, work locations are assigned a pay zone which determines the salary range for the position. The successful candidate’s starting pay will be determined based on job-related skills, experience, qualifications, work location, and market conditions. These pay zones may be modified in the future.    ""Default Together"" Policy at Snap: At Snap Inc. we believe that being together in person helps us build our culture faster, reinforce our values, and serve our community, customers and partners better through dynamic collaboration. To reflect this, we practice a “default together” approach and expect our team members to work in an office at least 80% of the time (an average of 4 days per week).    If you are not based in the same location(s) listed for this role and are open to relocation, we encourage you to apply to take advantage of our generous relocation policy.    At Snap, we believe that having a team of diverse backgrounds and voices working together will enable us to create innovative products that improve the way people live and communicate. Snap is proud to be an equal opportunity employer, and committed to providing employment opportunities regardless of race, religious creed, color, national origin, ancestry, physical disability, mental disability, medical condition, genetic information, marital status, sex, gender, gender identity, gender expression, pregnancy, childbirth and breastfeeding, age, sexual orientation, military or veteran status, or any other protected classification, in accordance with applicable federal, state, and local laws. EOE, including disability/vets. If you have a disability or special need that requires accommodation, please don’t be shy and contact us at accommodations-ext@snap.com.   : Snap Inc. is its own community, so we’ve got your back! We do our best to make sure you and your loved ones have everything you need to be happy and healthy, on your own terms. Our benefits are built around your needs and include paid maternity & paternity leave, comprehensive medical coverage, emotional and mental health support programs, and compensation packages that let you share in Snap’s long-term success! ",,,,accommodations-ext@snap.com,,Augmented Reality,United States,"Snap, Snap, Snap Inc., Snap, Snap, Snap Inc.",,,,Machine Learning Tech Lead,reinforce our values,
Machine Learning Engineer,https://indeed.com/viewjob?jk=769e533c8e36d203,Data Scientist/machine Learning Engineer,Colsh Consultants,,"$225,000 - $327,000 a year",Full-time,,,,,,,,,,,,,,,
Machine Learning Engineer,https://indeed.com/viewjob?jk=28c4fe87e7705511,Senior Machine Learning Engineer,Ouva,Remote,Estimated $183K - $231K a year,Overtime,                                                          ,,,,,,,,,,,,,,
Machine Learning Engineer,https://indeed.com/viewjob?jk=33353244f89a6385,"Senior Machine Learning Engineer, Night Market","Horizon Media, Inc.",,"$145,000 - $175,000 a year",Full-time,"  Job Description    Who    Are:          Salary Range   licensure/certifications,       ",,,,,,,,,,,,,,
Machine Learning Engineer,https://indeed.com/viewjob?jk=a367922e7ca1f92d,Machine Learning,Intone Networks,,Estimated $126K - $159K a year,Contract,"WALMART LOCATION: Sunnyvale, CA **HYBRID ONSITE FROM DAY 1** **The past couple of candidates who interviewed, have not been able to explain their design experience. Need someone who is clearly able to explain their design solutions during the interview** We seek a highly skilled Machine Learning Engineer and Researcher to join our team. The ideal candidate should have expertise in developing, testing, and deploying machine learning models for time series data analysis, anomaly detection, forecasting, and autoscaling. The primary responsibilities include developing and implementing scalable algorithms and models to analyze enormous amounts of time series data, detect anomalies and forecast trends. Responsibilities: · Develop and implement machine learning models and algorithms for time series data analysis, anomaly detection, forecasting, and autoscaling. · MLE: Develop high quality and scalable distributed machine learning systems for ML pipelines (training, modelops, and hosting) and APIs. · Work with large datasets, preprocess and clean the data, and perform exploratory data analysis to extract insights and patterns. · Design and develop scalable and efficient algorithms and models that can handle enormous amounts of data and provide real-time results. · Evaluate the performance of the models using appropriate metrics and fine-tune the parameters to improve accuracy and efficiency. · Collaborate with other teams to integrate the models into production systems and continuously monitor and improve performance. · Researcher: Research and stay up to date with the latest advancements in machine learning techniques and time series modeling and propose innovative approaches and solutions to improve the existing models and algorithms. Requirements: · Master or Ph.D. degree in Computer Science, Electrical Engineering, Mathematics, Statistics, or a related field. · MLE: 5+ years of experience in developing scalable distributed machine learning systems. · Researcher: 5+ years of experience in developing and deploying machine learning models and algorithms for time series data analysis, e.g., anomaly detection and forecasting. · Expertise in Python programming and machine learning libraries such as PyTorch, Scikit-learn, and Pandas. · Strong understanding of time series models such as ARIMA, SARIMA, Prophet, and LSTM, and experience in building custom models. · Experience with anomaly detection techniques Job Overview: Senior Software Engineer (Machine Learning) We seek highly skilled software engineers with a strong background in software development, machine learning, and experience with time series databases such as Prometheus, Big Query, Splunk, Kafka, and Graphite. The ideal candidate will also have experience with Golang development and knowledge of time series models, anomaly detection, forecasting, and autoscaling. Responsibilities: · Design, develop and maintain software applications that utilize machine learning models to solve complex data problems. · Collaborate with cross-functional teams to identify and implement solutions that improve data processing, analytics, and automation. · Build and manage data pipelines, integrating data from multiple sources and ensuring data accuracy and completeness. · Design and implement data models and schemas for time series databases such as Prometheus, Big Query, Splunk, Kafka, and Graphite. · Develop and deploy scalable, fault-tolerant distributed systems for data processing and analytics. · Implement systems to support time series models, anomaly detection, forecasting, and autoscaling algorithms to enable proactive monitoring and alerting. · Ensure the availability, reliability, and performance of data systems and applications. · Stay up to date with industry trends and best practices in machine learning, data engineering, and software development. Qualifications: · Master or Ph.D. degree in Computer Science, Engineering, or a related field · 5+ years software development experience, preferably in Golang, with data structures/algorithms. · Experience with software design and architecture. · Experience testing, maintaining and/or launching software products. · Experience with ML algorithms, tools, and end-to-end ML systems.",,"Master or Ph.D. degree in Computer Science, Electrical Engineering, Mathematics, Statistics, Master or Ph.D. degree in Computer Science, Engineering","machine learning, data analysis, machine learning, machine learning, ML, data analysis, machine learning, machine learning, machine learning, data analysis, machine learning, software development, machine learning, machine learning, data processing, data processing, machine learning, data engineering, software development, software development, ML",,"5+ years, 5+ years, 5+ years","developing, testing, anomaly detection, forecasting, autoscaling, time series data analysis, anomaly detection, forecasting, autoscaling, training, modelops, hosting, APIs, anomaly detection, forecasting, Python, PyTorch, Scikit-learn, Pandas, ARIMA, SARIMA, Prophet, LSTM, anomaly detection, Prometheus, Big Query, Splunk, Kafka, Graphite, Golang, time series models, anomaly detection, forecasting, autoscaling, Prometheus, Big Query, Splunk, Kafka, Graphite, time series models, anomaly detection, forecasting, autoscaling algorithms, Golang, data structures, end-to-end ML systems","Sunnyvale, CA",,,,,"Machine Learning Engineer and Researcher, Senior Software Engineer (Machine Learning), software engineers","testing, maintaining",
Machine Learning Engineer,https://indeed.com/viewjob?jk=65caf76aebef762c,Senior Machine Learning Engineer,Lexion,,"$135,000 - $185,000 a year",Full-time,,,,,,,,,,,,,,,
Machine Learning Engineer,https://indeed.com/viewjob?jk=ba809fba8d7e0adf,Telecommunications Machine Learning Engineer,"Keysight Technologies, Inc.",,Estimated $124K - $157K a year,Full-time," Develops, designs, adapts, prototypes and implements in code, supervised and unsupervised machine learning and advanced statistical algorithms in 5G/6G environments. Evaluates and recommends approaches to various data analytics problems. Analyzes and evaluates telecom data sets for both insight into the data and usability for machine learning applications. Conditions data for analysis and works with large scale structured and unstructured data. Creates data pipelines and works with large scale, distributed compute and storage platforms. Completes programming and implements efficiencies, performs testing and debugging. Completes documentation and procedures for installation and maintenance.",,,"machine learning, data analytics, machine learning",,,G,,,,,,,,
Machine Learning Engineer,https://indeed.com/viewjob?jk=a29195380a98ae74,Senior Machine Learning Engineer,Beyond Limits,,"$151,759 - $171,924 a year",,"  Our Advanced Learning Systems team is seeking a senior machine learning engineer. The team is in need of someone who is a skilled of standard data and ML pipelines, ML system design and modeling, and optimization techniques. Deployment skills are NOT a must but a plus. As a machine learning engineer, you will be building state-of-the-art ML models for different industrial applications. ",,,"ML, ML",,,ML system design,,,,,,"senior machine learning engineer, machine learning engineer",,
Machine Learning Engineer,https://indeed.com/viewjob?jk=c083e119a9948932,Senior Software Engineer - Machine Learning,Celonis SE,Remote,Estimated $97.7K - $124K a year,Full-time,,,,,,,,,,,,,,,
Machine Learning Engineer,https://indeed.com/viewjob?jk=3668bc86c11f69bc,Software Engineer - Machine Learning,CUBRC INC,,"$92,700 - $140,100 a year",,"Software Engineer - Machine Learning Job Summary: CUBRC has an immediate need to fill multiple positions working on state-of-the-art research and development projects. The successful candidate will join a team of researchers and software developers to implement advanced data analysis algorithms and technologies using machine learning methods. As a member of the program team, the successful candidate will perform software system architecture, integration, design, implementation, and testing under the direction of a Principal Engineer or Investigator. The successful candidate may lead small groups of engineers in implementation of specific functionality. Qualifications: Minimum Qualifications: A Bachelor's degree in Engineering, Science, Mathematics, or related discipline with significant coursework in computer programming or software architecture with a focus on machine learning and/or artificial intelligence research and application development. 2+ years relevant experience in developing machine learning algorithms and related software development efforts. 2+ years relevant experience in designing, developing, and testing Machine Learning models. Experience with high-level coding languages and scripting/interpreted languages, such as Java, JavaScript, HTML/CSS, and Python. Demonstrated ability to investigate, resolve and track complex software interactions and problems. Demonstrated ability to implement system and software requirements Knowledge of system/software development life cycles, CM processes, and agile development practices. Strong verbal/written communication skills. Special Requirements: U.S. citizenship is required for employment. Continued employment will require that the successful candidate obtain and continuously maintain a US Department of Defense security clearance. Moderate travel to support integration events at customer locations may be required and is highly dependent on the lifting of current COVID-19 travel restrictions. Preferred Qualifications: Familiarity with distributed computing systems and/or real-time computing/messaging systems. Experience with System / Software Integration and Test activities. Ability to work at a customer facility within a multi-contractor team environment Familiarity with Agile software development processes and tools (to include JIRA and Gitlab) EOE M/V/F/D",,"Bachelor's degree in Engineering, Science, Mathematics","Machine Learning, data analysis, machine learning, machine learning, artificial intelligence, machine learning, Machine Learning, Software Integration",,"2+ years, 2+ years","integration, design, implementation, testing, designing, developing, testing, Java, JavaScript, HTML, CSS, Python, Agile software development, JIRA, Gitlab, EOE M/V/F/D",,CUBRC,,,,"Software Engineer, software developers, Principal Engineer, Investigator",agile development practices,US Department of Defense
Machine Learning Engineer,https://indeed.com/viewjob?jk=af64e54e699322b2,Senior Machine Learning Engineer,Conversica,,"$160,000 - $200,000 a year",Full-time,                                   ,,,,,,,,,,,,,,
Machine Learning Engineer,https://indeed.com/viewjob?jk=2959628b4a209195,Senior Machine Learning Engineer,Intuit,,"$160,000 - $200,000 a year",Full-time,"   In this role, you’ll be embedded inside a vibrant team of data scientists. You’ll be expected to help conceive, code, and deploy data science models at scale using the latest industry tools. Important skills include data wrangling, feature engineering, developing models, and testing metrics.            ",,,"data scientists, data science",,,"data wrangling, feature engineering, developing models, testing metrics",,,,,,,,
Machine Learning Engineer,https://indeed.com/viewjob?jk=cef05a40a4897c3e,AI Engineer,AdvanceSoft,,"$160,000 - $200,000 a year",Full-time,,,,,,,,,,,,,,,
Machine Learning Engineer,https://indeed.com/viewjob?jk=70a974b091e4fea1,Machine Learning Engineer,Buchanan & Edwards,,Estimated $111K - $141K a year,Full-time," RenXTech is a wholly owned subsidiary of Buchanan & Edwards, and provides consulting services in operational support, intelligence collection, reporting, and data governance. Located in Arlington, VA, RenXTech offers expertise on a variety of national security topics, with specific focus on operational support, technical operations, policies and management of large volumes of data, analysis of large amounts of data, & effective approaches to evaluating and sharing data, and innovative techniques for information collection. Our consultants develop and deliver training programs on subjects including cyber intelligence, data governance and information sharing protocols, intelligence collection, and reporting techniques. RenXTech has a mission first culture and boasts the benefits & perks of a small company with the resources, stability, and career mobility of a large corporation. RenXTech is dedicated to fostering, cultivating and preserving a culture of diversity and inclusion. We are committed to crafting a workplace that endorses creativity and innovation, and promotes engagement through open communication, acceptance of new people and ideas, and a supportive team dynamic. RenXTech is an equal Opportunity Employer – Minorities / Women / Veterans / Individuals with Disabilities / Gender Identity / Sexual Orientation. #CJ",,,cyber intelligence,,,,"Arlington, VA","RenXTech, Buchanan & Edwards, RenXTech, RenXTech, RenXTech, RenXTech",,,,,"operational support, intelligence collection, reporting, data governance",
Machine Learning Engineer,https://indeed.com/viewjob?jk=4ae0dc76a639484f,Consultant Artificial Intelligence / Machine Learning Engineer (AI/ML),Specular Theory,,Estimated $111K - $141K a year,Full-time,,,,,,,,,,,,,,,
Machine Learning Engineer,https://indeed.com/viewjob?jk=4b909a9306fe9e7a,Machine Learning Researcher,Reconess,,Estimated $111K - $141K a year,Full-time,                      ,,,,,,,,,,,,,,
Machine Learning Engineer,https://indeed.com/viewjob?jk=2e179b4571baf28d,"Validation Software Engineer, Machine Learning Acceleration",Annapurna Labs (U.S.) Inc.,,,Full-time,"  In Annapurna Labs we are at the forefront of hardware/software co-design not just in Amazon Web Services (AWS) but across the industry. The work we do is not only cutting-edge and internet-scale but also deeply important to our customers. We design and build every component of our hardware and software to come together into products that our customers use for accelerated computing: either Machine Learning acceleration, or FPGA acceleration. We get our hands dirty, from creating our own silicon, pushing the electrons in the right direction, ensuring our hardware is functional and healthy, and managing the full lifecycle of our systems at the huge scale and complexity of AWS. If you're interested in ""building a complete product"" from inception to delighted customers, Annapurna is a fantastic choice. As a member of the Cloud-Scale Machine Learning Acceleration team you’ll be responsible for the design and optimization of hardware in our data centers including AWS Inferentia, our custom designed machine learning inference datacenter server. You will work closely with HW/SW and architecture teams and develop and execute in-depth architecture validation plans for the Machine Learning Acceleration product family and validating the design to achieve the best performance for our expanding customer base. Join us in creating the most advanced Machine Learning Accelerators in the world! Key job responsibilities As a member of the Cloud-Scale Machine Learning Acceleration team you’ll be responsible for the design and optimization of hardware in our data centers including AWS Inferentia, our custom designed machine learning inference datacenter server. You will work closely with HW/SW and architecture teams and develop and execute in-depth architecture validation plans for the Machine Learning Acceleration product family and validating the design to achieve the best performance for our expanding customer base. Join us in creating the most advanced Machine Learning Accelerators in the world!  ",,,"Machine Learning, Machine Learning, machine learning, Machine Learning, Machine Learning, Machine Learning, machine learning, Machine Learning, Machine Learning",,,"Amazon Web Services (AWS), FPGA acceleration, AWS, Annapurna, AWS Inferentia, AWS Inferentia, HW/, SW",,Annapurna Labs,,,,,,
Data Engineer,https://indeed.com/viewjob?jk=06f7a0ffcb3fbc3b,"Full Stack Engineer, Autopilot Data Annotation",Tesla,,Estimated $103K - $131K a year,Full-time," Tesla is looking for a Full Stack Software Engineer to join the Data Annotation team. This team focuses on helping improve the ""data engine"", the process by which we improve neural networks via data annotation and leveraging Tesla's fleet. The data engine is the most crucial aspect of ""pre-neural-network"" development and has unlocked every major Autopilot customer release. You’ll work with all teams across the Autonomy R&D group, understanding how they tackle the challenges towards full autonomy, and help them get there faster.",,,Data Annotation,,,"neural networks, data annotation",,,,,,Full Stack Software Engineer,,
Data Engineer,https://indeed.com/viewjob?jk=ad421c9d45b8d7a3,Data Engineer III,Staples,,Estimated $105K - $132K a year,Full-time,,,,,,,,,,,,,,,
Data Engineer,https://indeed.com/viewjob?jk=8a3fbb065c9de69f,Data Engineer,"iHeartMedia, Inc.",,Estimated $83.8K - $106K a year,Full-time,"iHeartMedia  Current employees and contingent workers click here to apply and search by the Job Posting Title.  The audio revolution is here – and iHeart is leading it! From broadcast radio to digital streaming radio to podcasting, audio continues to grow – and iHeart, which reaches 90% of Americans every month, is the #1 audio company in America across every one of those platforms. We’re the home of many of the country’s most popular and trusted on-air personalities and podcast influencers; we build important connections with hundreds of communities across America; we create and produce some of the most popular and well-known branded live music events in America; and we have the only complete audio ad technology stack in the industry for all forms of audio, from on demand to broadcast radio, digital streaming radio and podcasting. Only one company in America has the #1 position in everything audio: iHeartMedia.  If you’re excited about this role but don’t feel your experience aligns perfectly with the job description, we encourage you to apply anyway. At iHeartMedia we are dedicated to building a diverse, inclusive, and authentic workplace and are looking for teammates passionate about what we do!   iHeartMedia Entertainment, Inc. seeks candidates for the position of Data Engineer, responsible for building out high throughput data pipelines and working to improve the existing infrastructure, improve performance, and increase visibility into the data ecosystem.   Responsible for building out high throughput data pipelines and working to improve the existing infrastructure, improve performance, and increase visibility into the data ecosystem.   Relevant work experience   Respect for others and a strong belief that others should do this in return  Experience with various technical disciplines and applications  Close attention to detail, following up until issues are resolved  Ability to multitask on a variety of critical projects  Ability to work independently, while also collaborating with others  Strong communication skills, with the ability to communicate moderately complex technical information within the team  Skills to recognize and solve frequently occurring problems  Analytical thinking  Resourcefulness and independent judgement   Salary to be determined by multiple factors including but not limited to relevant experience, knowledge, skills, other job-related qualifications, and alignment with market data.  $116,000 - $130,000    125 West 55th Street, 10019   Regular   Full time   Salaried   iHeartMedia’s benefits offering is flexible and offers a variety of choices to meet the diverse needs of our changing workforce, including the following:  Employer sponsored medical, dental and vision with a variety of coverage options  Company provided and supplemental life insurance  Paid vacation and sick time  Paid company holidays, including a floating holiday that enable our employees to celebrate the holiday of their choosing  A Spirit day to encourage and allow our employees to more easily volunteer in their community  A 401K plan  Employee Assistance Program (EAP) at no cost – services include telephonic counseling sessions, consultation on legal and financial matters, emotional well-being, family and caregiving  A range of additional voluntary programs, such as spending accounts, student loan refinancing, accident insurance and more!  The Company is an equal opportunity employer and will not tolerate discrimination in employment on the basis of race, color, age, sex, sexual orientation, gender identity or expression, religion, disability, ethnicity, national origin, marital status, protected veteran status, genetic information, or any other legally protected classification or status.  Our organization participates in E-Verify. Click here to learn about E-Verify.",,,,,,,"America, 116,000 - $130,000, 125 West 55th Street, 10019","iHeartMedia, iHeart, iHeart, iHeartMedia, iHeartMedia, iHeartMedia Entertainment, Inc.",,,,Data Engineer,"work independently, collaborating with others, communication skills, Analytical thinking, Resourcefulness, independent judgement",
Data Engineer,https://indeed.com/viewjob?jk=e9968ba4bf93bd7e,Data Engineer (remote),Guardian Industries,Remote,Estimated $83.8K - $106K a year,Full-time,"Guardian is looking for a in Europe remote wor k ). Data Engineer is the subject matter expert on dimensional modeling techniques and data integration from external partners into transactional systems and through to the data warehousing and analytical platforms. The individual must be able to communicate in written form and manage workload dependencies. Strong analytical and problem solving skills are required.     At Koch companies, we are entrepreneurs. This means we openly challenge the status quo, find new ways to create value and get rewarded for our individual contributions. Any compensation range provided for a role is an estimate determined by available market data. The actual amount may be higher or lower than the range provided considering each candidate's knowledge, skills, abilities, and geographic location. If you have questions, please speak to your recruiter about the flexibility and detail of our compensation philosophy.As a Koch company, Guardian Industries makes products that improve the quality of life. From glass that dramatically reduces energy usage and increases comfort in buildings, to automotive parts that enhance connectivity, we have a relentless focus on making better products and developing better solutions for our customers. At Koch, employees are empowered to do what they do best to make life better. Learn how our business philosophy helps employees unleash their potential while creating value for themselves and the company. #LI-LU2",,,,,,dimensional modeling,Europe,"Guardian, Koch companies, Koch company, Guardian Industries, Koch",,,,Data Engineer,problem solving skills,
Data Engineer,https://indeed.com/viewjob?jk=cd6841adc2379b26,Data Engineer (contract),Wells Fargo,,,Contract,,,,,,,,,,,,,,,
Data Engineer,https://indeed.com/viewjob?jk=9332d48deaaf0a18,Data Engineer General,Altair Engineering,,Estimated $84.2K - $107K a year,Contract,,,,,,,,,,,,,,,
Data Engineer,https://indeed.com/viewjob?jk=ca62cd7da757b330,"Data Engineer-Contract-Hybrid Role-Foster City, Ca",Nelson Interactive,,$75 - $80 an hour,Contract,,,,,,,,,,,,,,,
Data Engineer,https://indeed.com/viewjob?jk=20a3e1cd43c8a7c9,Data Engineer,Johnson & Johnson,,$75 - $80 an hour,Contract,   ,,,,,,,,,,,,,,
Data Engineer,https://indeed.com/viewjob?jk=23466348cb1922ca,Data Engineer,Atomic,,"$125,000 - $150,000 a year",Full-time,                                     ,,,,,,,,,,,,,,
Data Engineer,https://indeed.com/viewjob?jk=52673cc47cfbfc91,Data Engineer,Dart Container,Hybrid remote,Estimated $95.2K - $121K a year,Full-time,"We have the ability to hire at the  for this position. This position will work a hybrid schedule of 3 days on site in Mason, MI, and up to 2 days remote. The Associate and Data Engineer position translates business requirements into conceptual, logical, and physical data models within the Enterprise data warehouse. This role focuses on using standard methods to prep, transform, and stage information for business consumption. This data is used for decision making and applied analytics through all levels of the organization. Dart Container is a drug-free workplace. Candidates are subject to a drug test (excluding THC*/marijuana/cannabis) and background check at the time of offer. https://www.dartcontainer.com/eeoaa/ If you have a disability and need an accommodation to access this website or for the application process, you should call Dart at (800) 545-3278 Ext 3370 or email us at ADArequests@dart.biz. Relay calls can be made by dialing 711 or the relay number for your state. If you experience difficulty applying online, you may call (800) 545-3278 Ext 3390 or email us at applicationassistance@dart.biz for assistance.",,,,"ADArequests@dart.biz, applicationassistance@dart.biz","3 days, 2 days",,"Mason, MI",Dart,,"(800) 545-3278 Ext 3370, (800) 545-3278 Ext 3390",,Associate and Data Engineer,,
Data Engineer,https://indeed.com/viewjob?jk=381c1fe2d1774a37,General Data Engineer,Miracle Software Systems,,Estimated $95.2K - $121K a year,Full-time,,,,,,,,,,,,,,,
Data Engineer,https://indeed.com/viewjob?jk=9c821719492205d2,"Data Engineer (must live local to Central PA, no relocation assistance, on-site role)",Benecon,,Estimated $69.2K - $87.6K a year,Full-time, Responsible for understanding and diagnosing data flows; designing and creating corporate data assets; building systematic processes to update and refresh data assets as new data becomes available; building systematic processes to monitor and curate those data assets; analyzing database and data flow performance and maintaining its peak efficiency. Responsible for ensuring that data integration among and between corporate data assets produces the desired result. This position will be responsible for creating reports and analysis in support of project planning and implementation of process improvements. None,,,,,,,,,,,,,,
Data Engineer,https://indeed.com/viewjob?jk=9c821719492205d2,Data Engineer (AWS),Benecon,,,, Responsible for understanding and diagnosing data flows; designing and creating corporate data assets; building systematic processes to update and refresh data assets as new data becomes available; building systematic processes to monitor and curate those data assets; analyzing database and data flow performance and maintaining its peak efficiency. Responsible for ensuring that data integration among and between corporate data assets produces the desired result. This position will be responsible for creating reports and analysis in support of project planning and implementation of process improvements. None,,,,,,,,,,,,,,
Data Engineer,https://indeed.com/viewjob?jk=9f1151dc699b190e,Data Engineer,Loudoun County Public Schools,Hybrid remote,,,,,,,,,,,,,,,,,
Data Engineer,https://indeed.com/viewjob?jk=d60aa1fa754bff56,Data Engineer - 15319,Enlighten,Hybrid remote,Estimated $123K - $155K a year,Full-time,,,,,,,,,,,,,,,
Data Engineer,https://indeed.com/viewjob?jk=2ac64a5c09aad1f3,"Sr. Data Engineer, Finance Products",Squarespace,,"$118,000 - $231,500 a year",,"As a technical leader on the Finance Products team, your primary responsibility will be to oversee the data that powers our Finance teams while also providing strategic reporting on core business events related to the customer lifecycle. The data sets, pipelines, and tools that you will be expected to build are mission-critical for the overall direction of our business. Additionally, you will be joining a team where continuous learning and development will be a big part of the day-to-day culture. You will report to the Engineering Manager, in the New York City area. The base salary for this position will vary based on job-related criteria including relevant skills, experience, and location, among other factors. In addition to the cash compensation above (which includes base salary and, where applicable for eligible roles, may include on-target commissions or overtime pay), all Squarespace employees are eligible to receive equity in the company as part of their total compensation. Squarespace (NYSE: SQSP) is a design-driven platform helping entrepreneurs build brands and businesses online. We empower millions of customers in more than 200 countries and territories with all the tools they need to create an online presence, build an audience, monetize, and scale their business. Our suite of products range from websites, domains, ecommerce, and marketing tools, as well as tools for scheduling with Acuity, creating and managing social media presence with Bio Sites and Unfold, and hospitality business management via Tock. Our team of more than 1,400 is headquartered in bustling New York City, with offices in Chicago, Dublin, Ireland, Aveiro, Portugal, and coworking spaces in the UK, Netherlands, and Australia. For more information, visit www.squarespace.com. Today, more than a million people around the globe use Squarespace to share different perspectives and experiences with the world. Not only do we embrace and celebrate the diversity of our customers, but we also work toward the same in our employees. At Squarespace, we are committed to equal employment opportunity regardless of race, color, ethnicity, ancestry, religion, national origin, gender, sex, gender identity or expression, sexual orientation, age, citizenship, marital or parental status, disability, veteran status, or other class protected by applicable law. We are proud to be an equal opportunity workplace.",,,,,,,"New York City area, bustling New York City, Chicago, Dublin, Ireland, Aveiro, Portugal, the UK, Netherlands, Australia",Squarespace,,,,"technical leader, Engineering Manager",,
Data Engineer,https://indeed.com/viewjob?jk=e2bc10e0dc17f497,Data Engineer – R01526767,Brillio,,"$118,000 - $231,500 a year",,,,,,,,,,,,,,,,
